citation_id,case_id,chunk_id,title,court,year,role,citation_type,citation_text,citation_year,reporter,volume,citation_court,page_or_number,party_1,party_2,connector,start_char,end_char,confidence
CASE_001_REASONING_0001_ADV_CITATION_0001,CASE_001,CASE_001_REASONING_0001,K.S. Puttaswamy v. Union of India,Supreme Court of India,2017,REASONING,SCC,(1978) 1 SCC 248,1978,SCC,1,,248,,,,140,156,0.95
CASE_001_REASONING_0001_ADV_CITATION_0002,CASE_001,CASE_001_REASONING_0001,K.S. Puttaswamy v. Union of India,Supreme Court of India,2017,REASONING,AIR,AIR 1950 SC 27,1950,AIR,,SC,27,,,,205,219,0.95
